Year,Total
2000,7964
2001,8953
2002,9507
2003,10061
2004,10951
2005,11804
2006,12709
2007,13075
2008,13985
2009,14571
2010,14161
2011,14129
2012,13849
2013,14030
2014,14002
2015,15096
2016,18683
2017,18764
2018,19743
2019,19954
2020,20724
