"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"15-24 years"	"15-24"	"Male"	"M"	Suppressed	301274	Suppressed
	"2018"	"2018"	"25-34 years"	"25-34"	"Female"	"F"	Suppressed	315797	Suppressed
	"2018"	"2018"	"25-34 years"	"25-34"	"Male"	"M"	Suppressed	328017	Suppressed
	"2018"	"2018"	"35-44 years"	"35-44"	"Female"	"F"	13	287168	Unreliable
	"2018"	"2018"	"35-44 years"	"35-44"	"Male"	"M"	13	287120	Unreliable
	"2018"	"2018"	"45-54 years"	"45-54"	"Female"	"F"	50	279571	17.9
	"2018"	"2018"	"45-54 years"	"45-54"	"Male"	"M"	60	272878	22.0
	"2018"	"2018"	"55-64 years"	"55-64"	"Female"	"F"	140	265053	52.8
	"2018"	"2018"	"55-64 years"	"55-64"	"Male"	"M"	163	244911	66.6
	"2018"	"2018"	"65-74 years"	"65-74"	"Female"	"F"	332	209250	158.7
	"2018"	"2018"	"65-74 years"	"65-74"	"Male"	"M"	387	178860	216.4
	"2018"	"2018"	"75-84 years"	"75-84"	"Female"	"F"	514	110707	464.3
	"2018"	"2018"	"75-84 years"	"75-84"	"Male"	"M"	495	91844	539.0
	"2018"	"2018"	"85+ years"	"85+"	"Female"	"F"	548	47727	1148.2
	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	379	30897	1226.7
	"2019"	"2019"	"< 1 year"	"1"	"Male"	"M"	Suppressed	27031	Suppressed
	"2019"	"2019"	"1-4 years"	"1-4"	"Female"	"F"	Suppressed	109262	Suppressed
	"2019"	"2019"	"1-4 years"	"1-4"	"Male"	"M"	Suppressed	113973	Suppressed
	"2019"	"2019"	"5-14 years"	"5-14"	"Male"	"M"	Suppressed	303619	Suppressed
	"2019"	"2019"	"15-24 years"	"15-24"	"Female"	"F"	Suppressed	291200	Suppressed
	"2019"	"2019"	"15-24 years"	"15-24"	"Male"	"M"	Suppressed	305124	Suppressed
	"2019"	"2019"	"25-34 years"	"25-34"	"Female"	"F"	Suppressed	322820	Suppressed
	"2019"	"2019"	"25-34 years"	"25-34"	"Male"	"M"	12	335559	Unreliable
	"2019"	"2019"	"35-44 years"	"35-44"	"Female"	"F"	16	291792	Unreliable
	"2019"	"2019"	"35-44 years"	"35-44"	"Male"	"M"	10	292550	Unreliable
	"2019"	"2019"	"45-54 years"	"45-54"	"Female"	"F"	32	281286	11.4
	"2019"	"2019"	"45-54 years"	"45-54"	"Male"	"M"	53	274352	19.3
	"2019"	"2019"	"55-64 years"	"55-64"	"Female"	"F"	149	271244	54.9
	"2019"	"2019"	"55-64 years"	"55-64"	"Male"	"M"	154	251104	61.3
	"2019"	"2019"	"65-74 years"	"65-74"	"Female"	"F"	311	217321	143.1
	"2019"	"2019"	"65-74 years"	"65-74"	"Male"	"M"	339	185158	183.1
	"2019"	"2019"	"75-84 years"	"75-84"	"Female"	"F"	480	116925	410.5
	"2019"	"2019"	"75-84 years"	"75-84"	"Male"	"M"	496	96605	513.4
	"2019"	"2019"	"85+ years"	"85+"	"Female"	"F"	489	48167	1015.2
	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	395	32155	1228.4
	"2020 "	"2020"	"< 1 year"	"1"	"Female"	"F"	Suppressed	25803	Suppressed
	"2020 "	"2020"	"< 1 year"	"1"	"Male"	"M"	Suppressed	26916	Suppressed
	"2020 "	"2020"	"1-4 years"	"1-4"	"Male"	"M"	Suppressed	112753	Suppressed
	"2020 "	"2020"	"15-24 years"	"15-24"	"Female"	"F"	Suppressed	296820	Suppressed
	"2020 "	"2020"	"15-24 years"	"15-24"	"Male"	"M"	Suppressed	309505	Suppressed
	"2020 "	"2020"	"25-34 years"	"25-34"	"Female"	"F"	14	330337	Unreliable
	"2020 "	"2020"	"25-34 years"	"25-34"	"Male"	"M"	14	344222	Unreliable
	"2020 "	"2020"	"35-44 years"	"35-44"	"Female"	"F"	16	297768	Unreliable
	"2020 "	"2020"	"35-44 years"	"35-44"	"Male"	"M"	20	299480	6.7
	"2020 "	"2020"	"45-54 years"	"45-54"	"Female"	"F"	58	284897	20.4
	"2020 "	"2020"	"45-54 years"	"45-54"	"Male"	"M"	63	277759	22.7
	"2020 "	"2020"	"55-64 years"	"55-64"	"Female"	"F"	155	276956	56.0
	"2020 "	"2020"	"55-64 years"	"55-64"	"Male"	"M"	217	257448	84.3
	"2020 "	"2020"	"65-74 years"	"65-74"	"Female"	"F"	356	226935	156.9
	"2020 "	"2020"	"65-74 years"	"65-74"	"Male"	"M"	388	192741	201.3
	"2020 "	"2020"	"75-84 years"	"75-84"	"Female"	"F"	487	124045	392.6
	"2020 "	"2020"	"75-84 years"	"75-84"	"Male"	"M"	535	102384	522.5
	"2020 "	"2020"	"85+ years"	"85+"	"Female"	"F"	511	49896	1024.1
	"2020 "	"2020"	"85+ years"	"85+"	"Male"	"M"	405	33811	1197.8
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"States: Maricopa County, AZ (04013)"
"UCD - ICD-10 Codes: J00-J98 (Diseases of the respiratory system)"
"Group By: Year; Ten-Year Age Groups; Gender"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Nov 18, 2024 9:26:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Nov 18, 2024 9:26:44 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"5. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
